Order Failure Reasons,Responsible Team,Whom to Assign,Reason
Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG=Solution: null),OMCS,C Ganesan,
Setup : Validation failed for Payment term for Payterm : &PAYTERM and Paycode : &PAYCODE (PAYMENT_TERM_CODE=31150) (PAY_CODE=R),OMEGA,Sangeeta Selvaraj,Invalid Payment Type combination
Setup : Validation failed for Payment term for Payterm : &PAYTERM and Paycode : &PAYCODE (PAYMENT_TERM_CODE=1020) (PAY_CODE=O),OMEGA,Sangeeta Selvaraj,
Setup : Validation failed for Payment term for Payterm : &PAYTERM and Paycode : &PAYCODE (PAYMENT_TERM_CODE=1020) (PAY_CODE=O),OMEGA,Sangeeta Selvaraj,
Setup : Validation failed for Payment term for Payterm : &PAYTERM and Paycode : &PAYCODE (PAYMENT_TERM_CODE=1020) (PAY_CODE=O),OMEGA,Sangeeta Selvaraj,
Setup : Validation failed for Payment term for Payterm : &PAYTERM and Paycode : &PAYCODE (PAYMENT_TERM_CODE=1020) (PAY_CODE=O),OMEGA,Sangeeta Selvaraj,
Setup : Validation failed for Payment term for Payterm : &PAYTERM and Paycode : &PAYCODE (PAYMENT_TERM_CODE=1020) (PAY_CODE=O),OMEGA,Sangeeta Selvaraj,
"Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG=LOB: 500 Internal Server Error: ""{""GetLobServiceRequest"":{""OrderHeader"":{""OrderNumber"":""293827828"",""DPID"":""2000000717791"",""QuoteNumber"":"""",""AssociatedOrderNumber"":"""",""OrderTotal"":""5489.4"",""BUID"":""11"",""OrderSource"":""GCM_DP"",""GIIOrderNumber"":"""",""GIIOrgID"":)",OMCS,C Ganesan,
"Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG=LOB: 500 Internal Server Error: ""{""GetLobServiceRequest"":{""OrderHeader"":{""OrderNumber"":""293827810"",""DPID"":""2000000717791"",""QuoteNumber"":"""",""AssociatedOrderNumber"":"""",""OrderTotal"":""1894.93"",""BUID"":""11"",""OrderSource"":""GCM_DP"",""GIIOrderNumber"":"""",""GIIOrgID"")",OMCS,C Ganesan,
"Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG=LOB: 500 Internal Server Error: ""{""GetLobServiceRequest"":{""OrderHeader"":{""OrderNumber"":""293799795"",""DPID"":""2000000523710"",""QuoteNumber"":"""",""AssociatedOrderNumber"":"""",""OrderTotal"":""7564.2"",""BUID"":""11"",""OrderSource"":""GCM_DP"",""GIIOrderNumber"":"""",""GIIOrgID"":)",OMCS,C Ganesan,
"Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG=LOB: 500 Internal Server Error: ""{""GetLobServiceRequest"":{""OrderHeader"":{""OrderNumber"":""740121994"",""DPID"":""7040000399373"",""QuoteNumber"":"""",""AssociatedOrderNumber"":"""",""OrderTotal"":""11172.56"",""BUID"":""202"",""OrderSource"":""GCM_DP"",""GIIOrderNumber"":"""",""GIIOrgI)",OMCS,C Ganesan,
Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG=Order Failed to Process in ABACUS. Check in ABACUS for Failure Reason (GSCM.omreliability.trx@dell.com)),ABACUS,GAYATHRI,
Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG='Order Failed to Process in ABACUS. Check in ABACUS for Failure Reason (GSCM.omreliability.trx@dell.com)'),ABACUS,GAYATHRI,
Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG='Order Failed to Process in ABACUS. Check in ABACUS for Failure Reason (GSCM.omreliability.trx@dell.com)'),ABACUS,GAYATHRI,
Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG='Order Failed to Process in ABACUS. Check in ABACUS for Failure Reason (GSCM.omreliability.trx@dell.com)'),ABACUS,GAYATHRI,
Order Failed to Process in OCI. Check in OCI for Failure Reason (ERROR_MSG='Order Failed to Process in ABACUS. Check in ABACUS for Failure Reason (GSCM.omreliability.trx@dell.com)'),ABACUS,GAYATHRI,
